S|N,source,link,date
55,Punch Newspapers,https://punchng.com/opc-plans-squads-to-fight-kidnapping-others-in-ogun/,2019 March 03
56,Punch Newspapers,https://punchng.com/govt-approach-wrong-ransom-payment-wont-end-kidnapping-obasanjo/,2018 October 09
57,Punch Newspapers,https://punchng.com/el-rufai-tambuwal-call-for-collective-action-against-banditry/,2020 August 02
58,Punch Newspapers,https://punchng.com/use-sports-to-curb-banditry-ikhuoria-tells-fg/,2020 March 05
59,Punch Newspapers,https://punchng.com/its-difficult-to-curb-insurgency-banditry-without-weapons-coas/,
60,Punch Newspapers,https://punchng.com/ig-vows-to-tackle-secession-threats-kidnapping-others/,
61,Punch Newspapers,https://punchng.com/fayemi-on-alliance-of-evil-between-boko-haram-and-kidnapping-gangs/,
62,Punch Newspapers,https://punchng.com/saraki-urges-global-collaboration-against-kidnapping/,2018 August 08
63,Punch Newspapers,https://punchng.com/obasanjo-gumi-recommend-special-courts-for-banditry-after-closed-door-meeting/,2019 January 22
64,Punch Newspapers,https://punchng.com/insecurity-establish-special-courts-for-banditry-obasanjo-sheikh-gumi-urge-fg/,
65,Punch Newspapers,https://punchng.com/criminals-using-ransoms-from-kidnapping-to-fund-insurgency-fayemi/,2020 May 07
66,Punch Newspapers,https://punchng.com/nigeria-failing-under-crippling-effects-of-banditry/,2020 March 20
67,Punch Newspapers,https://punchng.com/banditry-monitor-forests-in-your-states-national-park-boss-tells-govs/,2021 January 14
68,Punch Newspapers,https://punchng.com/banditry-ex-efcc-chair-seeks-safety-for-women-children/,2016 December 03
69,Punch Newspapers,https://punchng.com/960468-2/,2020 May 12
70,Punch Newspapers,https://punchng.com/banditry-becoming-an-industry-benefiting-some-people-lawan/,2020 December 24
71,Punch Newspapers,https://punchng.com/seven-northern-states-shut-schools-over-rising-banditry-abductions/,2020 December 17
72,Punch Newspapers,https://punchng.com/negotiating-with-bandits-will-encourage-kidnapping-experts/,2017 June 22
73,Punch Newspapers,https://punchng.com/amnesty-remains-best-way-to-end-banditry-bappa-zamfara-govs-aide/,2021 February 28
74,Punch Newspapers,https://punchng.com/banditry-apc-faults-matawalles-peace-accord-charges-gov-to-act-fast/,2019 October 05
75,Punch Newspapers,https://punchng.com/police-deploy-6000-operatives-in-nwest-ncentral-over-banditry/,2021 February 16
76,Punch Newspapers,https://punchng.com/oyo-tackles-ibarapa-others-kidnappings-killings-with-200-amotekun-corps/,2020 March 10
77,Punch Newspapers,https://punchng.com/300-female-soldiers-to-tackle-kaduna-abuja-highway-banditry/,2019 October 17
78,Punch Newspapers,https://punchng.com/father-two-sons-nabbed-for-banditry-in-katsina/,2021 January 25
79,Punch Newspapers,https://punchng.com/security-gives-way-to-kidnapping/,2016 March 23
80,Punch Newspapers,https://punchng.com/north-west-governor-behind-banditry-apc-alleges/,2020 December 17
81,Punch Newspapers,https://punchng.com/kidnapping-ayade-inaugurates-operation-akpakwu/,2020 December 03
82,Punch Newspapers,https://punchng.com/bauchi-increasing-kidnappings-rape-worry-police-dss/,2020 July 01
83,Punch Newspapers,https://punchng.com/only-a-fool-would-celebrate-darkness-bad-governance-corruption-banditry-others-nigerias-birthday-mate/,2020 October 04
84,Punch Newspapers,https://punchng.com/use-ict-to-tackle-terrorism-banditry-tambuwal-urges-buhari/,2018 August 02
85,Punch Newspapers,https://punchng.com/rising-banditry-deaths-put-buhari-govs-many-promises-to-the-test/,2020 July 03
86,Punch Newspapers,https://punchng.com/banditry-katsina-court-remands-two-in-police-custody/,2020 May 25
87,Punch Newspapers,https://punchng.com/buhari-on-escalating-banditry-in-the-north/,2020 February 20
88,Punch Newspapers,https://punchng.com/banditry-sule-gives-vehicles-to-army/,2019 December 18
89,Punch Newspapers,https://punchng.com/porous-borders-banditry-and-covid-19-spread/,2020 March 20
90,Punch Newspapers,https://punchng.com/security-agents-monarchs-clerics-meet-on-kaduna-banditry/,2019 March 02
91,Punch Newspapers,https://punchng.com/benue-plans-tougher-sanctions-for-open-grazing-banditry/,2018 April 11
92,Punch Newspapers,https://punchng.com/reps-decry-kidnappings-robberies-on-abuja-lokoja-road/,2017 August 07
93,Punch Newspapers,https://punchng.com/banditry-stakeholders-fault-20-year-jail-term-proposes-death-penalty/,2019 December 02
94,Punch Newspapers,https://punchng.com/akande-blames-wrong-sim-card-registration-for-kidnapping/,2016 July 14
95,Punch Newspapers,https://punchng.com/banditry-naf-to-deploy-air-assets-special-forces-in-north-west/,2018 August 14
96,Punch Newspapers,https://punchng.com/resurgence-of-banditry-in-katsina/,2019 October 26
97,Punch Newspapers,https://punchng.com/renewed-banditry-raises-fresh-concerns-for-jittery-katsina-residents/,2020 January 11
98,Punch Newspapers,https://punchng.com/terrorism-religious-extremism-kidnapping-are-security-threats-fg/,2019 October 11
99,Punch Newspapers,https://punchng.com/christian-lawyers-lament-judges-kidnapping/,2016 August 25
100,Punch Newspapers,https://punchng.com/curbing-the-menace-of-cross-border-banditry/,2019 June 04
101,Punch Newspapers,https://punchng.com/kidnapping-robbery-ll-reduce-if-nigeria-sustains-border-closure-for-two-years-emefiele/,2019 June 14
102,Punch Newspapers,https://punchng.com/terrorism-kidnappings-putting-pressure-on-logistics-manpower-igp/,2019 February 10
103,Punch Newspapers,https://punchng.com/dealing-with-nigerias-kidnapping-crisis/,2019 February 11
104,Punch Newspapers,https://punchng.com/banditry-release-n10bn-approved-for-zamfara-reps-tell-fg/,2019 July 25
105,Punch Newspapers,https://punchng.com/nassembly-fg-will-work-against-banditry-speaker/,2019 July 25
106,Punch Newspapers,https://punchng.com/fighting-rural-banditry-in-northern-nigeria/,
107,Punch Newspapers,https://punchng.com/30-year-old-man-arraigned-for-banditry-in-katsina/,
108,Punch Newspapers,https://punchng.com/kidnapping-kaduna-orders-removal-of-checkpoints-on-kaduna-abuja-highway/,2019 April 29
109,Punch Newspapers,https://punchng.com/nasarawa-moves-to-check-robbery-banditry/,2019 August 23
110,Punch Newspapers,https://punchng.com/banditry-masari-holds-meeting-with-herdsmen-security-chiefs/,2018 June 10
111,Punch Newspapers,https://punchng.com/niger-partners-miyetti-allah-to-fight-banditry/,
112,Punch Newspapers,https://punchng.com/nscdc-tackles-banditry-in-niger/,2019 April 01
113,Punch Newspapers,https://punchng.com/four-face-prosecution-for-banditry-in-katsina/,2017 September 21
114,Punch Newspapers,https://punchng.com/kidnapping-states-may-acquire-drones-from-us-safrica-n-korea/,2017 January 11
115,Punch Newspapers,https://punchng.com/banditry-govt-efforts-paying-off-says-katsina-gov/,2018 June 10
116,Punch Newspapers,https://punchng.com/police-form-swest-interstate-strategy-to-combat-banditry/,2019 May 18
117,Punch Newspapers,https://punchng.com/herdsmen-menace-banditry-lagos-benue-ebonyi-five-others-to-acquire-drones/,2019 June 04
118,Punch Newspapers,https://punchng.com/well-use-highway-cameras-to-curb-banditry-buhari/,2018 October 25
119,Punch Newspapers,https://punchng.com/blacklist-contractors-bad-roads-aiding-kidnapping-ssanu/,2018 December 17
120,Punch Newspapers,https://punchng.com/zamfara-to-employ-ex-bandits-to-combat-killings-kidnapping/,2019 May 24
121,Punch Newspapers,https://punchng.com/nigeria-needs-identity-management-to-curb-banditry-others-raji-odua-group-gmd/,2019 July 28
122,Punch Newspapers,https://punchng.com/well-fight-nhrc-if-necessary-to-end-banditry-nasarawa-cp/,2019 July 12
123,Punch Newspapers,https://punchng.com/banditry-killings-youre-politicising-isolated-incidents-buhari-tells-obj-jonathan-soyinka/,2019 March 24
124,Punch Newspapers,https://punchng.com/soldiers-on-highways-wont-solve-kidnapping-problem/,2017 January 17
125,Punch Newspapers,https://punchng.com/south-west-govs-vow-to-tackle-kidnapping/,2019 June 25
126,Punch Newspapers,https://punchng.com/some-kidnapping-cases-are-false-osinbajo-tells-nigerians-in-us/,2019 June 24
127,Punch Newspapers,https://punchng.com/some-kidnapping-stories-are-not-true-osinbajo-tells-nigerians-in-us/,2019 June 24
128,Punch Newspapers,https://punchng.com/banditry-troops-arrest-kingpin-20-others-in-katsina/,2019 June 24
129,Punch Newspapers,https://punchng.com/motorists-shun-ife-ibadan-highway-over-banditry/,2019 June 16
130,Punch Newspapers,https://punchng.com/banditry-zamfara-gov-meets-miyetti-allah-leaders-plans-to-import-grass-from-china/,2019 May 24
131,Punch Newspapers,https://punchng.com/zamfara-suspends-emir-over-banditry/,2019 May 24
132,Punch Newspapers,https://punchng.com/banditry-masari-expresses-confidence-in-military/,2018 June 10
133,Punch Newspapers,https://punchng.com/you-have-capacity-to-end-banditry-gov-masari-tells-army/,2018 June 10
134,Punch Newspapers,https://punchng.com/we-arrested-2175-kidnapping-suspects-others-in-two-months-ig/,2019 February 11
135,Punch Newspapers,https://punchng.com/nsa-military-draw-up-national-strategy-on-banditry-terrorism/,2018 May 31
136,Punch Newspapers,https://punchng.com/sokoto-engages-local-security-guards-to-tackle-banditry/,
137,Punch Newspapers,https://punchng.com/banditry-sokoto-to-form-joint-community-watch-volunteers/,2019 May 25
138,Punch Newspapers,https://punchng.com/banditry-katsina-cancels-masaris-inauguration-activities/,2018 June 10
139,Punch Newspapers,https://punchng.com/kidnapping-on-swest-highways/,2016 October 31
140,Punch Newspapers,https://punchng.com/dealing-with-the-scourge-of-rising-banditry/,2019 February 11
141,Punch Newspapers,https://punchng.com/pdp-faults-buharis-statements-on-kidnapping-igps-performance/,2018 August 24
142,Punch Newspapers,https://punchng.com/el-rufai-begs-naf-to-end-banditry-on-kaduna-abuja-road/,2019 March 09
143,Punch Newspapers,https://punchng.com/banditry-naf-inaugurates-271-detachment-in-birnin-gwari/,2016 July 31
144,Punch Newspapers,https://punchng.com/kidnapping-ig-redeploys-kaduna-cp-others/,2019 February 11
145,Punch Newspapers,https://punchng.com/banditry-fg-orders-northern-monarchs-to-begin-community-policing/,2019 March 11
146,Punch Newspapers,https://punchng.com/state-police-not-solution-to-banditry-says-acf/,2019 March 24
147,Punch Newspapers,https://punchng.com/banditry-cp-leads-patrol-team-along-abuja-kaduna-road/,
148,Punch Newspapers,https://punchng.com/military-police-others-plan-special-joint-squads-to-stop-killings-kidnappings/,2019 April 12
149,Punch Newspapers,https://punchng.com/rising-banditry-and-the-governance-meltdown/,2018 May 31
150,Punch Newspapers,https://punchng.com/senate-attacks-fg-says-only-state-police-can-stop-banditry/,2019 February 19
151,Punch Newspapers,https://punchng.com/how-can-fg-end-banditry-in-nigeria/,2019 February 11
152,Punch Newspapers,https://punchng.com/i-feel-your-pains-buhari-tells-zamfara-residents-as-banditry-claims-more-lives/,2019 April 07
153,Punch Newspapers,https://punchng.com/ig-military-dss-chiefs-meet-over-banditry-in-zamfara-katsina/,2019 February 11
154,Punch Newspapers,https://punchng.com/banditry-in-nigeria-a-brief-history-of-a-long-war-2/,
155,Punch Newspapers,https://punchng.com/banditry-in-nigeria-a-brief-history-of-a-long-war/,2018 December 24
156,Punch Newspapers,https://punchng.com/zamfara-suspends-four-traditional-rulers-over-banditry-allegations/,2018 October 31
157,Punch Newspapers,https://punchng.com/zamfara-banditry-claims-3000-lives-gulps-n17bn-ssg/,2017 April 16
158,Punch Newspapers,https://punchng.com/army-to-combat-kidnapping-insecurity-in-north-central-north-west-buratai/,2017 October 06
159,Punch Newspapers,https://punchng.com/buhari-end-kidnapping-epidemic/,2016 June 18
160,Punch Newspapers,https://punchng.com/zamfara-sokoto-bandits-occupy-farms-harvest-crops-residents-lament-hunger/,
161,Punch Newspapers,https://punchng.com/ncc-offers-n20m-grant-to-nigerian-tech-startups/,2017 January 17
162,Punch Newspapers,https://punchng.com/ex-igp-arase-advocates-overhaul-of-nigeria-police/,2019 April 28
163,Punch Newspapers,https://punchng.com/2023-presidency-northern-elders-make-a-u-turn-to-work-with-other-regions/,2021 September 20
164,Punch Newspapers,https://punchng.com/zamfara-govt-prosecutes-1000-suspects-for-violation-of-executive-order/,2021 September 01
165,Punch Newspapers,https://punchng.com/reign-of-terror-as-attacks-render-correctional-centres-vulnerable/,2021 November 02
166,Punch Newspapers,https://punchng.com/ssg-seeks-collaborative-efforts-on-security-threat/,
167,Punch Newspapers,https://punchng.com/use-anambra-ekiti-polls-to-boost-your-image-bishop-tells-inec/,2021 October 28
168,Punch Newspapers,https://punchng.com/bandits-killed-three-zamfara-security-operatives/,2021 October 02
169,Punch Newspapers,https://punchng.com/my-children-free-to-disagree-with-me-express-themselves-activist-lawyer-aborisade/,2021 October 30
170,Punch Newspapers,https://punchng.com/zamfara-police-refute-killing-of-20-security-personnel-by-bandits/,2021 May 16
171,Punch Newspapers,https://punchng.com/insecurity-astonishing-gaps-in-scenario-planning/,2020 May 28
172,Punch Newspapers,https://punchng.com/ekiti-catholic-bishop-cautions-against-electing-incompetent-people-into-political-offices/,2021 October 28
173,Punch Newspapers,https://punchng.com/security-agencies-lack-intelligence-cant-arrest-insecurity-vc/,2021 September 07
174,Punch Newspapers,https://punchng.com/fg-new-devious-trend-is-tagging-opposition-security-risk-seizing-passports-wike/,2021 June 09
175,Punch Newspapers,https://punchng.com/2023-be-guided-by-diplomatic-practices-buhari-urges-foreign-envoys/,2021 September 01
176,Punch Newspapers,https://punchng.com/declaring-bandits-as-terroristsll-come-at-a-price-gumi/,2021 February 04
177,Punch Newspapers,https://punchng.com/serial-killings-can-youths-seek-political-solution/,
178,Punch Newspapers,https://punchng.com/who-has-yemi-osinbajo-become/,2020 April 12
179,Punch Newspapers,https://punchng.com/pdp-backs-the-economists-alleged-buharis-regime-incompetence/,2019 October 11
180,Punch Newspapers,https://punchng.com/declare-bandits-kidnappers-terrorists-36-speakers-tell-fg/,2021 September 01
181,Punch Newspapers,https://punchng.com/ending-insurgencies-when-solidarity-matches-resilience/,2017 March 12
182,Punch Newspapers,https://punchng.com/subjecting-edo-people-to-compulsory-covid-19-vaccination-dehumanising-ogbebor/,2021 October 24
183,Punch Newspapers,https://punchng.com/state-assembly-speakers-ask-fg-to-declare-bandits-as-terrorists/,2019 October 11
184,Punch Newspapers,https://punchng.com/no-excuse-for-boko-haram-war-after-10-years-says-atiku/,2019 May 24
185,Punch Newspapers,https://punchng.com/igp-dss-boss-counsel-editors-on-crisis-management/,2021 August 06
186,Punch Newspapers,https://punchng.com/domestic-poultry-industry-is-collapsing/,2016 October 05
187,Punch Newspapers,https://punchng.com/breaking-gunmen-attack-sokoto-market-kill-over-30/,2021 August 15
188,Punch Newspapers,https://punchng.com/buharis-scorecard-decidedly-not-good-enough/,2020 June 25
189,Punch Newspapers,https://punchng.com/visually-impaired-nigerians-cry-out-say-were-worst-victims-of-insecurity/,
190,Punch Newspapers,https://punchng.com/insecurity-unemployment-and-the-rest-of-us/,
191,Punch Newspapers,https://punchng.com/naf-denies-paying-n20m-to-avoid-shooting-down-buharis-plane/,2021 October 17
192,Punch Newspapers,https://punchng.com/security-challenges-will-soon-be-over-sen-wamakko/,2016 September 15
193,Punch Newspapers,https://punchng.com/using-school-as-military-bases-worsening-attacks-fg/,2021 September 12
